trues preds
163.49333 155.1474
170.96297 161.06696
166.48148 172.35483
162.0 183.16422
157.65433 189.44759
187.0 167.18922
187.25044 179.83212
187.94533 195.32892
150.70671 174.11575
149.0 158.1495
149.51852 143.68506
150.48148 130.44037
151.0 118.438614
118.65023 96.09671
134.8872 96.78838
199.0 168.63095
200.31111 187.86154
202.89899 211.80331
203.79797 227.26392
210.45903 219.8101
213.0 211.66063
158.73286 143.43234
170.0 144.077
242.55678 199.59703
246.0879 216.61916
250.0 234.15205
267.03275 275.4611
258.0 278.65106
176.0 179.9623
