dtrues dpreds
1.7359985 -0.8018829
-0.40740663 2.221234
-0.8962982 2.2575746
-0.8962952 2.1618774
-0.86913455 1.2566742
-0.06814881 -3.630301
0.050088502 2.5285797
0.13897705 3.099359
-0.8302307 -3.5546112
-0.34134215 -3.1932495
0.10370483 -2.8928895
0.19259033 -2.648938
0.10370483 -2.400351
2.530046 0.048858643
3.2473953 0.13833466
0.64841306 4.434851
0.2622223 3.8461182
0.17979737 2.9078279
0.17979737 3.0921204
0.626712 -1.8728424
0.50819397 -1.629895
2.0189636 -0.06573181
2.253427 0.12893066
0.9113556 3.4853973
0.7062256 3.4044251
0.78241885 3.5065796
-2.2745056 0.49588013
-1.8065491 0.6379944
-0.75449216 -3.089856
